Name,Height(in),Weight(lbs),40 yard,Bench press,Vert leap,Broad jump,Shuttle,HOF,Draft Pos,Games,Draft Year
"hopkins,ma",71.3,196,4.58,18.0,29.5,106.0,4.2,0.0,,0,1991
"smith,ro",68.3,181,4.7,8.0,32.5,115.0,4.26,0.0,220.0,0,1991
"horton,la",70.9,179,4.64,4.0,37.5,116.0,4.01,0.0,217.0,0,1991
"thomas,ef",71.4,186,4.7,8.0,30.5,111.0,4.31,0.0,296.0,0,1991
"beavers,da",74.3,228,4.63,20.0,38.5,124.0,4.35,0.0,327.0,0,1991
"davis,de",69.0,175,4.65,7.0,32.0,110.0,4.41,0.0,86.0,59,1991
"lyght,to",72.0,186,4.54,15.0,35.5,123.0,,0.0,5.0,175,1991
"ragans,bi",74.8,208,4.71,6.0,33.0,115.0,4.15,0.0,,0,1991
"mincy,ch",72.0,189,4.68,10.0,31.5,114.0,4.27,0.0,133.0,114,1991
"jones,he",71.6,197,4.48,16.0,31.0,114.0,4.01,0.0,26.0,158,1991
"lewis,ta",70.3,175,4.46,6.0,34.5,118.0,4.16,0.0,247.0,9,1991
"dumas,mi",70.6,178,4.67,,34.5,118.0,4.24,0.0,28.0,102,1991
"wallace,de",73.4,205,5.0,12.0,32.5,113.0,4.34,0.0,,0,1991
"jackson,aa",71.3,213,4.62,,35.5,119.0,,0.0,,0,1991
"parker,qu",72.1,195,4.72,15.0,31.0,109.0,4.23,0.0,,0,1991
"laduke,na",69.5,192,4.83,19.0,35.0,117.0,4.11,0.0,282.0,0,1991
"williams,ae",70.0,187,4.57,12.0,32.0,111.0,4.3,1.0,59.0,211,1991
"key,da",70.0,197,4.62,15.0,35.5,124.0,4.02,0.0,140.0,3,1991
"hanks,me",73.5,177,4.77,,36.0,117.0,4.15,0.0,122.0,137,1991
"jackson,eu",72.6,215,4.76,10.0,34.5,114.0,4.23,0.0,,0,1991
"wallace,ja",68.9,167,4.69,3.0,35.0,123.0,4.09,0.0,,0,1991
"riddick,lo",73.9,216,4.72,17.0,32.5,124.0,4.09,0.0,248.0,94,1991
"lance,ti",71.8,202,4.68,15.0,30.0,110.0,4.24,0.0,,0,1991
"pickens,br",69.8,193,4.48,,34.5,127.0,4.12,0.0,3.0,48,1991
"thomas,gr",73.4,223,4.81,11.0,35.0,117.0,4.26,0.0,,0,1992
"lincoln,je",70.3,180,4.53,8.0,34.5,,,0.0,80.0,106,1992
"harris,to",71.9,194,4.82,10.0,32.0,113.0,4.39,0.0,,0,1992
"brown,to",69.5,183,4.67,9.0,34.0,117.0,4.17,0.0,135.0,57,1992
"hoskins,de",74.4,201,4.53,10.0,40.0,128.0,4.29,0.0,128.0,61,1992
"robinson,fr",70.1,180,4.73,14.0,32.5,115.0,4.18,0.0,137.0,31,1992
"wright,mi",72.6,188,4.78,9.0,32.0,113.0,4.19,0.0,126.0,0,1992
"swilling,ke",74.1,243,4.85,19.0,35.5,115.0,4.49,0.0,184.0,0,1992
"smith,ke",70.8,173,4.49,10.0,37.5,126.0,4.13,0.0,17.0,103,1992
"price,wi",71.4,205,4.74,13.0,37.5,116.0,4.26,0.0,,0,1992
"johnson,ca",68.6,195,4.78,10.0,32.0,113.0,4.38,0.0,,0,1992
"clark,mi",69.5,200,4.73,12.0,34.0,112.0,4.08,0.0,,0,1992
"jones,se",71.8,182,4.63,7.0,37.0,129.0,4.2,0.0,177.0,47,1992
"crooms,ch",74.1,199,4.56,11.0,34.0,121.0,4.06,0.0,114.0,16,1992
"dandridge,ga",72.6,213,4.69,,37.5,122.0,4.23,0.0,122.0,0,1992
"lance,ca",70.8,186,4.78,11.0,33.5,117.0,4.13,0.0,,0,1992
"sims,ke",70.0,199,4.68,18.0,31.5,117.0,4.04,0.0,,0,1992
"smith,ro",71.0,187,4.52,11.0,36.0,121.0,4.01,0.0,35.0,102,1992
"james,mi",71.4,184,4.66,12.0,34.5,122.0,4.22,0.0,,0,1992
"woodson,da",73.0,219,4.53,19.0,37.5,128.0,4.28,0.0,37.0,178,1992
"holmes,cl",70.0,178,4.55,13.0,33.5,118.0,4.2,0.0,58.0,39,1992
"wise,br",73.1,225,4.68,19.0,32.0,114.0,4.13,0.0,,0,1992
"prior,an",70.5,193,4.62,16.0,34.0,118.0,4.23,0.0,238.0,59,1992
"bunch,cu",71.9,216,4.86,7.0,30.5,112.0,4.3,0.0,,0,1992
"washington,sh",70.5,200,4.9,15.0,29.5,101.0,4.48,0.0,,0,1992
"harris,co",71.6,195,4.67,,31.0,114.0,3.95,0.0,77.0,183,1992
"worthman,an",69.9,187,4.61,8.0,34.0,110.0,4.09,0.0,,0,1992
"ambrose,as",70.0,177,4.51,7.0,34.0,120.0,4.16,0.0,29.0,192,1992
"holt,ri",74.3,200,4.66,10.0,32.0,117.0,4.39,0.0,,0,1992
"humphries,le",68.5,174,4.67,4.0,32.5,116.0,4.15,0.0,223.0,13,1992
"holmes,ca",68.4,183,4.43,15.0,32.5,110.0,4.2,0.0,196.0,0,1992
"pope,ma",69.9,188,4.52,12.0,35.5,122.0,4.2,0.0,33.0,129,1992
"kelling,jo",72.8,214,4.75,16.0,31.5,118.0,4.01,0.0,,0,1992
"cotton,cu",71.9,209,4.55,17.0,41.0,127.0,3.9,0.0,173.0,0,1992
"haller,al",70.4,177,4.53,11.0,34.5,116.0,4.21,0.0,123.0,12,1992
"clay,wi",69.9,184,4.78,9.0,34.5,119.0,4.13,0.0,221.0,118,1992
"fuller,ja",71.4,208,4.77,11.0,34.5,116.0,4.04,0.0,201.0,23,1992
"primous,ma",75.0,224,4.9,13.0,33.0,111.0,4.56,0.0,,0,1992
"franks,ch",68.9,185,4.71,5.0,34.5,114.0,4.49,0.0,,0,1992
"belser,ja",68.6,182,4.74,9.0,37.0,119.0,4.41,0.0,197.0,173,1992
"wheeler,le",71.3,189,4.59,21.0,37.0,122.0,,0.0,84.0,92,1992
"schulz,ku",71.5,205,4.59,21.0,33.5,117.0,4.06,0.0,195.0,129,1992
"shipp,ma",74.1,191,4.71,6.0,34.0,118.0,4.13,0.0,,0,1992
"floyd,gi",72.0,198,4.82,4.0,31.0,115.0,4.38,0.0,,0,1992
"walker,gr",67.8,177,4.79,4.0,35.5,115.0,4.16,0.0,,0,1992
"braxton,em",69.6,168,4.6,10.0,29.5,115.0,4.24,0.0,,0,1992
"ray,te",73.0,192,4.62,4.0,36.5,118.0,4.11,0.0,158.0,73,1992
"colar,he",69.9,199,4.73,17.0,35.0,115.0,4.13,0.0,,0,1992
"barlow,co",69.3,182,4.72,11.0,34.0,120.0,4.13,0.0,129.0,10,1992
"berry,ma",71.0,180,4.69,3.0,33.0,116.0,4.25,0.0,161.0,0,1992
"buckley,er",70.9,221,4.74,20.0,31.0,113.0,4.37,0.0,,0,1992
"kirtman,na",72.5,185,4.62,,30.0,116.0,4.15,0.0,248.0,0,1992
"vincent,ka",69.8,177,4.53,1.0,36.5,120.0,4.28,0.0,164.0,0,1992
"hall,da",74.3,206,4.6,8.0,35.0,121.0,4.12,0.0,18.0,91,1992
"lumpkin,se",72.4,206,4.72,12.0,34.5,119.0,4.03,0.0,106.0,67,1992
"vincent,tr",72.3,191,4.45,13.0,35.5,,,0.0,7.0,207,1992
"legette,ty",68.9,177,4.52,,36.0,122.0,4.39,0.0,72.0,91,1992
"perry,da",70.4,190,4.81,13.0,32.0,113.0,4.36,0.0,203.0,126,1992
"darby,ma",73.4,200,4.64,20.0,36.0,,4.02,0.0,139.0,81,1992
"roberts,da",70.1,202,4.73,10.0,32.0,116.0,4.11,0.0,,0,1993
"henderson,ot",71.9,207,4.72,19.0,36.0,116.0,4.5,0.0,193.0,21,1993
"johnson,ke",69.9,177,4.51,8.0,38.0,121.0,3.93,0.0,173.0,40,1993
"brown,co",72.4,196,4.56,,31.5,115.0,4.13,0.0,110.0,120,1993
"speer,de",71.6,196,4.67,,33.5,119.0,4.16,0.0,,0,1993
"bradford,ro",70.3,188,4.61,12.0,31.5,124.0,4.2,0.0,105.0,133,1993
"trapp,ja",71.9,178,4.4,10.0,36.5,120.0,4.3,0.0,72.0,149,1993
"buggs,an",72.0,190,4.7,8.0,36.0,122.0,4.38,0.0,,0,1993
